类型,根函数名,函数名,包含性样本,排除性样本,包含性样本 %,排除性样本 %,
"Caller","[mscorlib.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow..ctor",21,21,0.06,0.06,
"Caller","[mscorlib.ni.dll]","ZBYGate_Data_Collection.LocalDataBase.LocalDataBaseWindow.InitializeComponent",2,2,0.01,0.01,
"Callee","[mscorlib.ni.dll]","[LedDynamicArea.dll]",1,0,0.00,0.00,
"Callee","[mscorlib.ni.dll]","log4net.Appender.FileAppender+ExclusiveLock.CloseFile",2,0,0.01,0.00,
"Callee","[mscorlib.ni.dll]","log4net.Appender.FileAppender+LockingStream.Flush",1,0,0.00,0.00,
"Callee","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_OS",1,0,0.00,0.00,
"Callee","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_OSDetails",5,0,0.01,0.00,
"Callee","[mscorlib.ni.dll]","MySql.Data.MySqlClient.MySqlConnectAttrs.get_Thread",6,0,0.02,0.00,
"Root","[msctfuimanager.dll]","[msctfuimanager.dll]",33,0,0.09,0.00,
"Caller","[msctfuimanager.dll]","[msctfuimanager.dll]",27,0,0.08,0.00,
"Caller","[msctfuimanager.dll]","[System.Windows.Forms.ni.dll]",3,0,0.01,0.00,
"Callee","[msctfuimanager.dll]","[combase.dll]",10,9,0.03,0.03,
"Callee","[msctfuimanager.dll]","[dui70.dll]",19,1,0.05,0.00,
"Callee","[msctfuimanager.dll]","[msctfuimanager.dll]",27,0,0.08,0.00,
"Callee","[msctfuimanager.dll]","[user32.dll]",4,4,0.01,0.01,
"Root","[msvcrt.dll]","[msvcrt.dll]","27,312","27,312",78.29,78.29,
"Caller","[msvcrt.dll]","[WTY.dll]","27,312","27,312",78.29,78.29,
"Root","[mswsock.dll]","[mswsock.dll]",4,4,0.01,0.01,
"Caller","[mswsock.dll]","[WTY.dll]",4,4,0.01,0.01,
"Root","[nlaapi.dll]","[nlaapi.dll]",1,0,0.00,0.00,
"Caller","[nlaapi.dll]","[nlaapi.dll]",1,0,0.00,0.00,
"Callee","[nlaapi.dll]","[nlaapi.dll]",1,0,0.00,0.00,
"Callee","[nlaapi.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[ntdll.dll]","[ntdll.dll]",29,22,0.08,0.06,
"Caller","[ntdll.dll]","[borlndmm.dll]",3,3,0.01,0.01,
"Caller","[ntdll.dll]","[dui70.dll]",2,1,0.01,0.00,
"Caller","[ntdll.dll]","[LedDynamicArea.dll]",10,4,0.03,0.01,
"Caller","[ntdll.dll]","[nlaapi.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[pnrpnsp.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[UIAutomationCore.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[wbemcomn.dll]",1,1,0.00,0.00,
"Caller","[ntdll.dll]","[WTY.dll]",10,10,0.03,0.03,
"Callee","[ntdll.dll]","[duser.dll]",1,0,0.00,0.00,
"Callee","[ntdll.dll]","[knb3rdhmpg.dll]",6,0,0.02,0.00,
"Root","[oleaut32.dll]","[oleaut32.dll]",3,3,0.01,0.01,
"Caller","[oleaut32.dll]","[LedDynamicArea.dll]",2,2,0.01,0.01,
"Caller","[oleaut32.dll]","[UIAutomationCore.dll]",1,1,0.00,0.00,
"Root","[pnrpnsp.dll]","[pnrpnsp.dll]",1,0,0.00,0.00,
"Callee","[pnrpnsp.dll]","[ntdll.dll]",1,1,0.00,0.00,
"Root","[rpcrt4.dll]","[rpcrt4.dll]",6,2,0.02,0.01,
"Caller","[rpcrt4.dll]","[fastprox.dll]",4,0,0.01,0.00,
"Caller","[rpcrt4.dll]","[wbemprox.dll]",1,1,0.00,0.00,
"Caller","[rpcrt4.dll]","[wbemsvc.dll]",1,1,0.00,0.00,
"Callee","[rpcrt4.dll]","[fastprox.dll]",4,0,0.01,0.00,
"Root","[SHCore.dll]","[SHCore.dll]",2,2,0.01,0.01,
"Caller","[SHCore.dll]","[dui70.dll]",2,2,0.01,0.01,
"Root","[System.Core.ni.dll]","[System.Core.ni.dll]",1,1,0.00,0.00,
"Caller","[System.Core.ni.dll]","MySql.Data.MySqlClient.MySqlBaseConnectionStringBuilder.AnalyzeConnectionString",1,1,0.00,0.00,
"Root","[System.Data.ni.dll]","[System.Data.ni.dll]",43,27,0.12,0.08,
