16:43:21.206  connect 192.168.1.98 fail!
16:43:21.212  192.168.1.98接口函数获取网卡IP为: 192.168.1.250
16:43:22.391  192.168.1.98:bind 12655 port fail, ret = 10049, hsdk_socket->port = 12655
16:43:22.396  192.168.1.98:bind 12665 port fail, ret = 10049, hsdk_socket->port = 12665
16:43:22.401  192.168.1.98:bind 12675 port fail, ret = 10049, hsdk_socket->port = 12675
16:43:22.406  192.168.1.98:bind 12685 port fail, ret = 10049, hsdk_socket->port = 12685
16:43:22.411  192.168.1.98:bind 12695 port fail, ret = 10049, hsdk_socket->port = 12695
16:43:22.415  192.168.1.98:bind 12705 port fail, ret = 10049, hsdk_socket->port = 12705
16:43:22.420  192.168.1.98:bind 12715 port fail, ret = 10049, hsdk_socket->port = 12715
16:43:22.425  192.168.1.98:bind 12725 port fail, ret = 10049, hsdk_socket->port = 12725
16:43:22.429  192.168.1.98:bind 12735 port fail, ret = 10049, hsdk_socket->port = 12735
16:43:22.434  192.168.1.98:bind 12745 port fail, ret = 10049, hsdk_socket->port = 12745
16:43:22.438  192.168.1.98:bind 12755 port fail, ret = 10049, hsdk_socket->port = 12755
16:43:22.442  192.168.1.98:bind 12765 port fail, ret = 10049, hsdk_socket->port = 12765
16:43:22.447  192.168.1.98:bind 12775 port fail, ret = 10049, hsdk_socket->port = 12775
16:43:22.451  192.168.1.98:bind 12785 port fail, ret = 10049, hsdk_socket->port = 12785
16:43:22.455  192.168.1.98:bind 12795 port fail, ret = 10049, hsdk_socket->port = 12795
16:43:22.459  192.168.1.98:bind 12805 port fail, ret = 10049, hsdk_socket->port = 12805
16:43:22.464  192.168.1.98:bind 12815 port fail, ret = 10049, hsdk_socket->port = 12815
16:43:22.468  192.168.1.98:bind 12825 port fail, ret = 10049, hsdk_socket->port = 12825
16:43:22.472  192.168.1.98:bind 12835 port fail, ret = 10049, hsdk_socket->port = 12835
16:43:22.477  192.168.1.98:bind 12845 port fail, ret = 10049, hsdk_socket->port = 12845
16:43:22.481  192.168.1.98:bind 12855 port fail, ret = 10049, hsdk_socket->port = 12855
16:43:22.485  192.168.1.98:bind 12865 port fail, ret = 10049, hsdk_socket->port = 12865
16:43:22.489  192.168.1.98:bind 12875 port fail, ret = 10049, hsdk_socket->port = 12875
